id,empresas_id,vaga,hardskills
1,1,Dados/IA,"SQL, Python, PowerBI, IA, DataBricks, Office"
2,2,Tecnologia/Dados,"Office, Ingles, espanhol, gestao projetos, analise de dados"
3,2,Projetos Digitais/Transformação,"Office, Ingles, espanhol, gestao projetos, analise de dados"
4,3,Comissionamento e Apuração de Resultados,"Office, Ingles, data literay(analise de dados), SQL, Python, PowerBI, metodologias ageis"
5,4,Tecnologia/Dados,"Office, Ingles, IA, SQL, Python, PowerBI, nocoes negocios e varejo"
6,5,tecnologia e backoffice,"Office, Inglês, IA, SQL, Python, PowerBI, nocoes negocios, comunicacao"
7,6,tecnologia Holding,"Office, Inglês, SQL, Python, PowerBI, gestao de projetos, analise de dados"
8,7,Supply chain,"Office avançado, Ingles, espanhol gestão de indicadores, gestao de estoque, nocoes de PCP, sistema de gestão (SAP)"
9,8,Comercial,"Office avançado, Inglês, SQL, Python, PowerBI, analise de mercado, analise de dados, SAP"
10,8,"Inovação, Tecnologia e Desenvolvimento Sustentável","Office avançado, Inglês, sustentabilidade e meio ambiente, gestao de projetos, PowerBI, analise de mercado, analise de dados, SAP"
11,8,Investimentos e Tecnologias Digitais,"Office avançado, Inglês, Python, SQL, metodologias ageis, analise de dados, SAP"
12,9,Tecnologia/Dados,"Office avançado, Inglês, Python, SQL, Java, JavaScript ou TypeScript, analise de dados, infraestrutura e Cloud"
13,9,Seguros,"Office avançado, Inglês, Python, SQL, Java, PowerBI, matematica financeira, nocoes mercado financeiro"
14,10,Sistemas de Engenharia,"Office avançado, Inglês, gestao de projetos, documentacao tecnica, CAD/3D"
15,11,Dados e Analytics,"Office avançado, Inglês, IA, automacao processos (RPA), nocao negocio e mercado, Python, SQL, PowerBI"
16,11,Inovação e Projetos,"Office avançado, Inglês, IA, automacao processos (RPA), nocao negocio e mercado, Python, SQL, PowerBI"
17,11,Credito,"Office avançado, Inglês, IA, automacao processos (RPA), nocao negocio e mercado, analise de dados, Python, SQL, PowerBI"
18,12,Tecnologia e produtos,"Office avançado, Inglês, gestao de processos e indicadores, analise de dados, PowerBI"
19,13,M&A Relações com Investidores,"Office avançado, modelagem financeira, mercado de capitais, analise legal, contabilidade e financas corporativa"
20,14,Supply chain,"Office avançado, Ingles, espanhol gestão de indicadores, gestao de estoque, nocoes de PCP, sistema de gestão (SAP)"
21,14,Finanças,"Office avançado, inglês, espanhol, gestao de indicadores, analise de dados, sistema de gestão (SAP)"
22,15,Comercial Venda Indireta,"Office avançado, gestao de dados CRM, analise de indicadores, suporte em contratos, tecnologia de comunicacao"
23,16,Supply chain,"Office avançado, sistema de gestão (SAP)"
24,17,Cientista da computação,"Office avançado, ingles, espanhol"
25,18,Supply chain,"Office avançado, ingles, espanhol, sistemas integrados (SAP), planejamento e controle (PCP), analise de dados"
26,18,Supply chain,"Office avançado, ingles, espanhol, sistemas integrados (SAP), gestão de processos, analise de dados"
27,19,Administrativo,"Office avançado, inglês, Python, SQL, analise de dados"
28,20,Tecnologia/Dados,"Office avançado, inglês, Python, SQL, analise de dados, PowerBI, automação processos, VBA, Query"
29,21,Tecnologia/Dados,"Office avançado, inglês, Python, SQL, Java, Angular analise de dados, PowerBI, visao de negocios"
31,22,Tecnologia/Dados,"Office avançado, inglês, Python, SQL, Java, Git,  analise de dados, PowerBI, Matematica financeira"
32,23,VTI tecnologia,"Office avançado, inglês, Python, Java SQL, Java, Git,  analise de dados, Cloud, PowerBI, Matematica financeira"
33,23,Produtos e Clientes,"Office avançado, inglês, Python, Java SQL, Java, Git,  analise de dados, mercado financeiro, metodologias ágeis, gestao de (CRM), PowerBI, Matematica financeira"
34,24,Administrativo,"Office avançado, inglês, domínio de sistemas ERP, nocoes legislação e compliance, gestap de projetos  analise de dados, mercado financeiro, metodologias ágeis, gestao de (CRM), PowerBI, Matematica financeira"
35,25,Tecnologia/Dados,"Office avançado, aplicacoes embarcada, modelagem e engine, c#, Python, Java, infraestrutura (Scrum, Kanban)"
36,26,Dados e sustentabilidade,"Office avançado, analise de dados, PowerBI, Ferramenta melhoria, RCM/RCA"
37,27,Tecnologia/Dados,"Office avançado, analise de dados, PowerBI, Haskell, Java, AWS, Azure, Angulas"
38,28,Tecnologia/Dados,"Office avançado, analise de dados, IA, Photoshop, PowerBI, Google ADS, Copywriting"
